2	18	1
5	35	2
6	28	3
6	53	4
6	80	5
8	99	6
11	12	7
11	28	8
11	878	9
12	16	10
12	10751	11
13	35	12
13	18	13
13	10749	14
14	18	15
15	18	16
16	18	17
16	80	18
16	10402	19
17	27	20
17	53	21
17	9648	22
18	12	23
18	14	24
18	28	25
18	53	26
18	878	27
19	18	28
19	878	29
20	18	30
20	10749	31
21	99	32
22	12	33
22	14	34
22	28	35
24	28	36
24	80	37
25	18	38
25	10752	39
26	18	40
27	18	41
27	10402	42
27	10749	43
28	18	44
28	10752	45
30	16	46
30	878	47
33	37	48
35	16	49
35	35	50
35	10751	51
38	878	52
38	18	53
38	10749	54
55	18	55
55	53	56
58	12	57
58	14	58
58	28	59
59	18	60
59	53	61
59	80	62
62	878	63
62	9648	64
62	12	65
63	878	66
63	53	67
63	9648	68
64	18	69
64	10749	70
65	18	71
66	80	72
66	18	73
66	53	74
67	53	75
67	80	76
67	18	77
68	35	78
68	878	79
69	18	80
69	10402	81
69	10749	82
70	18	83
71	18	84
71	35	85
71	10402	86
73	18	87
74	12	88
74	53	89
74	878	90
75	35	91
75	14	92
75	878	93
76	18	94
76	10749	95
77	9648	96
77	53	97
78	878	98
78	18	99
78	53	100
79	18	101
79	12	102
79	28	103
79	36	104
80	18	105
80	10749	106
81	12	107
81	14	108
81	16	109
81	28	110
81	878	111
82	28	112
82	12	113
82	80	114
82	53	115
83	18	116
83	53	117
85	12	118
85	28	119
86	10749	120
86	18	121
87	12	122
87	28	123
88	18	124
88	10402	125
88	10749	126
89	12	127
89	28	128
90	28	129
90	35	130
90	80	131
91	99	132
93	80	133
93	18	134
93	9648	135
93	53	136
95	28	137
95	53	138
95	878	139
95	12	140
96	28	141
96	35	142
96	80	143
97	878	144
97	28	145
97	12	146
98	28	147
98	18	148
98	12	149
99	35	150
99	18	151
100	35	152
100	80	153
101	53	154
101	80	155
101	18	156
102	18	157
102	10749	158
103	80	159
103	18	160
104	28	161
104	18	162
104	53	163
105	12	164
105	35	165
105	878	166
105	10751	167
106	878	168
106	28	169
106	12	170
106	53	171
107	53	172
107	80	173
108	18	174
108	10402	175
108	9648	176
109	35	177
109	18	178
109	9648	179
110	18	180
110	9648	181
110	10749	182
111	28	183
111	80	184
111	18	185
111	53	186
112	35	187
112	18	188
112	10749	189
113	18	190
114	10749	191
114	35	192
115	35	193
115	80	194
116	18	195
116	53	196
116	80	197
116	10749	198
117	80	199
117	18	200
117	36	201
117	53	202
118	12	203
118	35	204
118	10751	205
118	14	206
120	12	207
120	14	208
120	28	209
121	12	210
121	14	211
121	28	212
122	12	213
122	14	214
122	28	215
123	14	216
123	18	217
123	16	218
123	12	219
125	99	220
127	18	221
128	12	222
128	14	223
128	16	224
129	14	225
129	12	226
129	16	227
129	10751	228
132	99	229
132	10402	230
133	99	231
134	28	232
134	12	233
134	35	234
135	99	235
135	10402	236
136	18	237
136	27	238
137	10749	239
137	14	240
137	18	241
137	35	242
138	27	243
139	10749	244
139	35	245
139	18	246
140	80	247
140	18	248
140	10749	249
140	53	250
141	14	251
141	18	252
141	9648	253
142	18	254
142	10749	255
143	18	256
143	10752	257
144	18	258
144	14	259
144	10749	260
145	18	261
145	10749	262
146	12	263
146	18	264
146	28	265
146	10749	266
147	18	267
148	18	268
148	10749	269
149	878	270
149	16	271
150	53	272
150	28	273
150	35	274
150	80	275
150	18	276
152	878	277
152	12	278
152	9648	279
153	18	280
154	878	281
154	28	282
154	12	283
154	18	284
154	53	285
155	18	286
155	28	287
155	80	288
155	53	289
156	35	290
156	18	291
156	10749	292
158	35	293
158	80	294
159	35	295
159	18	296
161	53	297
161	80	298
162	14	299
162	18	300
162	10749	301
163	53	302
163	80	303
164	35	304
164	18	305
164	10749	306
165	12	307
165	35	308
165	10751	309
165	878	310
165	28	311
166	18	312
166	10749	313
166	35	314
167	18	315
167	878	316
168	878	317
168	12	318
169	878	319
169	28	320
169	53	321
170	27	322
170	53	323
170	878	324
171	18	325
171	10749	326
171	35	327
172	878	328
172	28	329
172	12	330
172	53	331
173	12	332
173	18	333
173	878	334
174	878	335
174	28	336
174	12	337
